nº,Code Link,Lines Before,Lines After,Added Lines,Removed Lines,Code Churn,Relative Churn
1,https://github.com/torvalds/linux/commit/867eb39e8b02,2450,2459,9,0,9,"0,36"
2,https://github.com/torvalds/linux/commit/5a271fe784e7,1910,1910,1,1,2,"0,1"
3,https://github.com/torvalds/linux/commit/d4c06133af03,4989,4991,9,7,16,"0,32"
4,https://github.com/torvalds/linux/commit/44b0f0836b62,1458,1459,2,1,3,"0,2"
5,https://github.com/torvalds/linux/commit/89a87c67791b,4694,4694,32,32,64,"1,36"
6,https://github.com/torvalds/linux/commit/e5cc44b2eb2b,1640,1642,4,2,6,"0,36"
7,https://github.com/torvalds/linux/commit/6748482f4153,1516,1517,14,13,27,"1,78"
8,https://github.com/torvalds/linux/commit/59433a59b073,55,64,9,0,9,"16,6"
9,https://github.com/torvalds/linux/commit/3afbac957e3c,989,1025,36,0,36,"3,6"
10,https://github.com/torvalds/linux/commit/c310e2b950c9,749,748,4,5,9,"1,2"
11,https://github.com/torvalds/linux/commit/330eaaf947ab,185,229,44,0,44,"23,7"
12,https://github.com/torvalds/linux/commit/94ff9ebb49a5,723,782,71,12,93,"12,86"
13,https://github.com/torvalds/linux/commit/89ea25835a55,6983,6987,7,11,18,"0,25"
14,https://github.com/torvalds/linux/commit/6aaec67da1e4,173,173,2,2,4,"2,31"
15,https://github.com/torvalds/linux/commit/08be4eeda40e,467,526,61,2,63,"13,4"
16,https://github.com/torvalds/linux/commit/90fdbdb48442,209,207,1,3,4,"1,91"
17,https://github.com/torvalds/linux/commit/abed623ca59a,844,848,10,6,16,"1,89"
18,https://github.com/torvalds/linux/commit/33e6820b767a,1686,1707,52,31,83,"4,92"
19,https://github.com/torvalds/linux/commit/fac290a11694,394,394,23,23,46,"11,6"
20,https://github.com/torvalds/linux/commit/c3faac4a74c2,985,944,38,79,117,"11,8"
21,https://github.com/torvalds/linux/commit/835ee7978cb4,2654,2656,2,0,2,"0,07"
22,https://github.com/torvalds/linux/commit/5e415245b285,272,273,2,1,3,"1,1"
23,https://github.com/torvalds/linux/commit/bce492c04ba8,428,312,0,116,116,"27,1"
24,https://github.com/torvalds/linux/commit/1c0f95eec6d6,3595,3600,3,8,11,"0,3"
25,https://github.com/torvalds/linux/commit/c444dc0765d4,497,497,3,3,6,"1,2"
26,https://github.com/torvalds/linux/commit/a6b24f836015,1468,1467,2,3,5,"0,34"
27,https://github.com/torvalds/linux/commit/7a9d93e58583,1726,1728,2,4,6,"0,34"
28,https://github.com/torvalds/linux/commit/358934a60d21,413,1676,1263,0,1263,"305,8"
29,https://github.com/torvalds/linux/commit/fa8f87870188,1154,1153,32,31,63,"5,45"
30,https://github.com/torvalds/linux/commit/f8f8527103a2,783,777,114,108,252,"32,1"
31,https://github.com/torvalds/linux/commit/bb1f4606754c,2467,2467,12,12,24,"0,97"
32,https://github.com/torvalds/linux/commit/d02765d1af74,2208,1998,411,621,1032,"46,7"
33,https://github.com/torvalds/linux/commit/5432bdc05372,647,647,6,6,12,"0,92"
34,https://github.com/torvalds/linux/commit/55caa9241ece,575,577,15,13,28,"4,86"
35,https://github.com/torvalds/linux/commit/de7ed0c62452,1254,1279,25,0,25,"1,99"
36,https://github.com/torvalds/linux/commit/e365bcd9214d,92,154,69,7,76,"82,6"
37,https://github.com/torvalds/linux/commit/e17cc08c2f0d,5076,5068,353,361,714,14
38,https://github.com/torvalds/linux/commit/1f5826bd0ed6,1565,1584,25,6,31,"1,98"
39,https://github.com/torvalds/linux/commit/70e137eb48f6,497,500,51,48,99,"19,9"
